pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing
54915,YTHDF1,YTH N(6)-methyladenosine RNA binding protein 1,1,1
3157,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,1,1
85377,MICALL1,MICAL like 1,1,1
55793,FAM63A,family with sequence similarity 63 member A,1,1
466,ATF1,activating transcription factor 1,1,1
54681,P4HTM,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)",1,1
11000,SLC27A3,"solute carrier family 27 (fatty acid transporter), member 3",1,1
6915,TBXA2R,thromboxane A2 receptor,1,1
6253,RTN2,reticulon 2,1,1
7264,TSTA3,tissue specific transplantation antigen P35B,1,1
5467,PPARD,peroxisome proliferator activated receptor delta,1,1
2767,GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",1,1
23038,WDTC1,WD and tetratricopeptide repeats 1,1,1
57048,PLSCR3,phospholipid scramblase 3,1,1
79716,NPEPL1,aminopeptidase-like 1,1,1
